No,label
,0
0,0
1,1
2,1
3,1
4,1
5,0
6,0
7,0
8,1
9,0
10,1
11,1
12,0
13,1
14,1
15,0
16,1
17,0
18,1
19,1
20,0
21,0
22,1
23,1
24,0
25,1
26,1
27,1
28,0
29,1
30,0
31,1
32,1
33,0
34,1
35,0
36,1
37,1
38,0
39,0
40,0
41,1
42,0
43,0
44,0
45,0
46,1
47,1
48,0
49,1
50,0
51,1
52,1
53,1
54,0
55,1
56,1
57,0
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,0
66,0
67,0
68,1
69,0
70,0
71,1
72,1
73,0
74,0
75,0
76,1
77,1
78,1
79,1
80,0
81,0
82,0
83,0
84,0
85,1
86,0
87,0
88,1
89,0
90,1
91,1
92,1
93,1
94,0
95,0
96,1
97,0
98,1
99,0
100,0
101,0
102,1
103,1
104,0
105,1
106,0
107,1
108,1
109,1
110,1
111,0
112,1
113,0
114,0
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,1
123,1
124,1
125,1
126,1
127,0
128,1
129,1
130,1
131,1
132,0
133,1
134,0
135,0
136,0
137,1
138,1
139,1
140,0
141,0
142,1
143,1
144,1
145,1
146,0
147,1
148,1
149,0
150,1
151,0
152,0
153,1
154,1
155,1
156,0
157,1
158,1
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,1
167,0
168,1
169,1
170,0
171,0
172,0
173,0
174,1
175,0
176,0
177,1
178,1
179,0
180,1
181,1
182,0
183,0
184,1
185,1
186,1
187,1
188,1
189,1
190,0
191,0
192,0
193,1
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,0
203,0
204,1
205,1
206,0
207,1
208,1
209,1
210,1
211,0
212,0
213,0
214,0
215,1
216,1
217,1
218,0
219,0
220,1
221,0
222,0
223,0
224,0
225,1
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,1
234,0
235,1
236,1
237,1
238,1
239,1
240,1
241,0
242,1
243,1
244,0
245,1
246,1
247,1
248,1
249,0
250,1
251,0
252,0
253,0
254,0
255,1
256,1
257,0
258,1
259,1
260,0
261,0
262,1
263,1
264,0
265,0
266,1
267,0
268,1
269,0
270,0
271,1
272,1
273,1
274,1
275,0
276,1
277,0
278,0
279,0
280,0
281,0
282,0
283,1
284,0
285,0
286,0
287,1
288,1
289,1
290,0
291,0
292,1
293,1
294,0
295,0
296,1
297,0
298,1
299,1
300,1
301,1
302,0
303,1
304,1
305,0
306,1
307,0
308,0
309,0
310,1
311,1
312,1
313,1
314,1
315,0
316,0
317,0
318,1
319,0
320,1
321,1
322,0
323,0
324,0
325,1
326,1
327,1
328,1
329,1
330,1
331,0
332,1
333,1
334,1
335,0
336,0
337,0
338,1
339,0
340,1
341,0
342,0
343,0
344,1
345,0
346,0
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,0
363,1
364,1
365,1
366,0
367,1
368,0
369,1
370,0
371,0
372,1
373,1
374,0
375,0
376,0
377,0
378,0
379,0
380,1
381,1
382,0
383,1
384,1
385,0
386,0
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,1
396,1
397,0
398,0
399,0
